unclean_title,Date,Title,description,genres,release_year,cast,duration
The Last Kingdom: Season 4: Episode 3,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 4: Episode 2,3/10/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Breaking Bad: Season 1: The Cat's in the Bag,3/9/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 3: Episode 9,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 8,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 7,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 6,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 5,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 4,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 3,3/9/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 2,3/8/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 3: Episode 1,3/8/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 2: Episode 7,3/8/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 2: Episode 8,3/7/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 2: Episode 6,3/7/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 2: Episode 5,3/7/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Itaewon Class: Episode 1,3/7/24,Itaewon Class,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",,2020,,
Breaking Bad: Season 1: Pilot,3/7/24,Breaking Bad,"A portrait of the Spanish-German actor Daniel Brühl, a versatile performer capable of moving easily from the gentlest to the darkest role.",,2023,,
The Last Kingdom: Season 2: Episode 4,3/6/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 2: Episode 3,3/6/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 2: Episode 2,3/6/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Outlander: Season 7: A Life Well Lost,3/6/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 6: I Am Not Alone,3/6/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
The Last Kingdom: Season 2: Episode 1,3/5/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Dark Desire: Season 1: It's Just Sex,3/4/24,Dark Desire,A young man desperate to be connected to the people close to him resorts to devious measures to achieve that desire,,2012,,
Outlander: Season 2: Vengeance Is Mine,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 2: Prestonpans,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 6: Echoes,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 5: Never My Love,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
The Last Kingdom: Season 1: Episode 8,3/4/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Outlander: Season 4: America the Beautiful,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 3: Eye of the Storm,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 3: The Bakra,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 3: Uncharted,3/4/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
The Last Kingdom: Season 1: Episode 7,3/4/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 1: Episode 6,3/4/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 1: Episode 5,3/4/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 1: Episode 4,3/4/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 1: Episode 3,3/4/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 1: Episode 2,3/3/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
The Last Kingdom: Season 1: Episode 1,3/2/24,The Last Kingdom,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",,2023,,
Outlander: Season 7: Turning Points,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: A Practical Guide for Time-travelers,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Where the Waters Meet,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Singapore,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: A Most Uncomfortable Woman,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Death Be Not Proud,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: The Happiest Place on Earth,3/2/24,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
